System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:48:50.338, 118.971, 7.448, 3.826, 1.090, 0.088, 1360, 2771, 73, 61, 63, 66, 61, 25.724, 21.622, 27.107, 23.000
17:48:51.329, 119.962, 8.858, 4.910, 1.200, 0.106, 1386, 3151, 76, 60, 62, 65, 61, 28.105, 10.660, 33.833, 21.000
17:48:52.330, 120.963, 9.864, 6.258, 1.192, 0.062, 1616, 3152, 82, 60, 63, 66, 61, 33.250, 13.433, 39.900, 15.000
17:48:53.351, 121.984, 7.180, 3.744, 1.126, 0.010, 1334, 3193, 89, 62, 64, 67, 61, 34.676, 16.098, 40.879, 21.000
17:48:54.354, 122.987, 8.790, 5.540, 0.898, 0.014, 1368, 3100, 12, 62, 64, 67, 61, 38.500, 15.000, 46.333, 5.000
17:48:55.314, 123.947, 16.710, 13.448, 1.160, 0.224, 1940, 2697, 163, 61, 63, 67, 61, 48.895, 41.667, 51.300, 41.000
17:48:56.360, 124.993, 3.556, 1.206, 0.644, 0.164, 1586, 1723, 97, 64, 67, 71, 62, 37.201, 42.308, 35.510, 38.000
17:48:57.335, 125.968, 1.946, 0.946, 0.364, 0.032, 1261, 1439, 13, 60, 62, 66, 61, 13.402, 16.327, 12.414, 19.000
17:48:58.360, 126.993, 1.810, 0.772, 0.374, 0.112, 1279, 1690, 90, 59, 61, 64, 60, 16.850, 20.588, 15.610, 28.000
17:48:59.351, 127.983, 1.542, 0.616, 0.358, 0.104, 1473, 1564, 108, 59, 61, 64, 60, 16.206, 25.500, 13.087, 22.000
17:49:00.363, 128.996, 1.476, 0.698, 0.384, 0.136, 1422, 1573, 130, 59, 61, 64, 60, 16.276, 23.881, 13.770, 21.000
17:49:01.364, 129.997, 3.556, 1.162, 0.590, 0.320, 1430, 1776, 273, 59, 61, 64, 60, 18.773, 22.500, 17.529, 37.000
17:49:02.353, 130.986, 2.952, 1.098, 0.520, 0.214, 1625, 1551, 155, 58, 61, 63, 60, 22.864, 31.000, 20.134, 37.000
17:49:03.388, 132.021, 9.932, 6.032, 1.148, 0.056, 1552, 3159, 97, 60, 62, 64, 60, 34.140, 13.171, 41.063, 22.000
17:49:04.339, 132.972, 6.844, 3.870, 1.018, 0.084, 1358, 2863, 69, 62, 64, 67, 61, 34.697, 17.801, 40.388, 34.000
